记录编号,建筑面积,朝向,楼层,装修,电梯,建筑结构,建筑类别,区域,学校,总价,单价,房龄,室,厅,卫
SH90298,75平米,东西,高层,精装修,有 ,平层,板楼,城关,附件有学校,82.0万,10933.0,22.0,2,2,1
SH97652,45平米,东,高层,简装修,无 ,平层,板楼,城关,附件有学校,65.0万,14444.0,18.0,1,1,1
SH90305,45平米,南北,高层,中装修,无 ,平层,板楼,城关,附件有学校,60.0万,13333.0,24.0,2,0,1
SH90308,78.4平米,南,高层,精装修,无 ,平层,板楼,安宁,附件无学校,85.0万,10842.0,18.0,2,1,1
SH90313,80平米,南北,低层,精装修,无 ,平层,钢混,安宁,附件有学校,83.0万,10375.0,22.0,2,2,1
SH90314,152平米,西南,中层,精装修,有 ,平层,板楼,城关,附件有学校,199.0万,13092.0,8.0,3,2,2
SH90317,155.4平米,东北,中层,毛坯,有 ,平层,板楼,七里河,附件无学校,125.0万,8044.0,6.0,3,2,1
SH97368,106.63平米,南,高层,精装修,无 ,平层,板楼,城关,附件无学校,158.5万,14864.0,10.0,2,2,1
SH90319,40.04平米,西,高层,简装修,无 ,平层,砖混,七里河,附件有学校,39.0万,9740.0,13.0,1,1,1
SH90321,155.37平米,南北,高层,简装修,有 ,平层,板楼,安宁,附件有学校,187.0万,12036.0,17.0,3,2,2
SH90325,86平米,东,高层,精装修,有 ,平层,板楼,城关,附件无学校,110.0万,12791.0,16.0,2,2,1
SH90326,89平米,南北,低层,简装修,无 ,平层,板楼,安宁,附件有学校,122.0万,13708.0,16.0,2,2,1
SH90332,94平米,东北,中层,精装修,有 ,平层,板楼,城关,附件无学校,130.0万,13830.0,5.0,2,2,1
SH90333,82.53平米,南,低层,精装修,有 ,平层,板楼,城关,附件有学校,85.0万,10299.0,19.0,2,1,1
SH90335,104.66平米,南,中层,毛坯,有 ,平层,板楼,城关,附件无学校,180.0万,17199.0,2.0,2,2,2
SH97708,84.34平米,东,中层,精装修,有 ,平层,钢混,城关,附件有学校,146.0万,17311.0,11.0,2,1,1
SH90341,93.67平米,南北,低层,精装修,无 ,平层,平房,城关,附件有学校,133.0万,14199.0,12.0,2,2,1
SH90343,102平米,南北,高层,毛坯,有 ,平层,板楼,安宁,附件无学校,62.0万,6078.0,6.0,3,2,2
SH90345,125平米,南北,低层,精装修,有 ,平层,钢混,城关,附件有学校,121.0万,9680.0,8.0,3,1,2
SH90347,155.4平米,东南,高层,毛坯,无 ,开间,板楼,七里河,附件无学校,127.0万,8172.0,6.0,4,2,2
SH90352,152.46平米,东西,中层,精装修,无 ,平层,板楼,城关,附件无学校,235.0万,15414.0,21.0,3,2,2
SH97640,136.69平米,南北,高层,精装修,有 ,平层,板楼,安宁,附件无学校,210.0万,15363.0,12.0,3,2,2
SH90354,155.6平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,260.0万,16710.0,10.0,3,2,2
SH90355,74平米,东北,中层,毛坯,有 ,平层,板楼,城关,附件有学校,103.0万,13919.0,4.0,1,2,1
SH90359,108.36平米,南,高层,精装修,有 ,平层,板楼,安宁,附件无学校,145.0万,13381.0,12.0,2,2,1
SH90361,112平米,南北,中层,精装修,有 ,平层,板楼,榆中,附件无学校,80.0万,7143.0,7.0,3,3,3
SH90362,121平米,南北,高层,毛坯,有 ,平层,板楼,安宁,附件无学校,146.0万,12066.0,7.0,3,2,2
SH90364,152平米,南北,低层,精装修,有 ,平层,钢混,城关,附件有学校,280.0万,18421.0,18.0,3,2,1
SH90365,44.8平米,西,高层,简装修,无 ,平层,板楼,城关,附件无学校,53.97万,12047.0,19.0,2,1,1
SH90367,48.47平米,北,低层,简装修,有 ,平层,板楼,七里河,附件有学校,67.8万,13988.0,22.0,1,1,1
SH90368,86平米,南北,中层,简装修,无 ,平层,板楼,城关,附件有学校,87.0万,10116.0,18.0,2,2,1
SH90369,98.49平米,西南,中层,毛坯,有 ,平层,板楼,城关,附件无学校,94.0万,9544.0,5.0,3,2,1
SH97276,52平米,南,中层,精装修,有 ,平层,钢混,安宁,附件无学校,85.0万,16346.0,7.0,1,1,1
SH90373,94.3平米,南北,中层,简装修,有 ,平层,板楼,城关,附件有学校,135.0万,14316.0,12.0,2,2,1
SH90376,94平米,东南,低层,精装修,有 ,平层,板楼,城关,附件有学校,155.0万,16489.0,15.0,2,2,1
SH90378,45平米,南北,低层,简装修,无 ,平层,板楼,城关,附件有学校,93.0万,20667.0,22.0,1,1,1
SH90381,57.28平米,南,高层,中装修,无 ,平层,板楼,城关,附件无学校,64.0万,11173.0,24.0,2,1,1
SH90384,66平米,南,高层,简装修,无 ,平层,板楼,城关,附件有学校,126.0万,19091.0,27.0,2,2,2
SH90385,94平米,南,中层,精装修,有 ,平层,钢混,城关,附件无学校,140.0万,14894.0,7.0,2,2,1
SH90386,92.59平米,东西,高层,中装修,无 ,平层,砖混,七里河,附件无学校,92.7万,10012.0,17.0,2,1,1
SH90388,122.9平米,东西,高层,豪华装修,无 ,平层,板楼,城关,附件无学校,215.0万,17494.0,6.0,2,2,2
SH90389,118平米,南北,中层,精装修,无 ,平层,板楼,安宁,附件无学校,155.0万,13136.0,3.0,3,2,2
SH90390,146平米,南北,中层,中装修,有 ,平层,钢混,城关,附件有学校,282.0万,19315.0,17.0,3,2,2
SH90391,98平米,南北,中层,毛坯,无 ,平层,板楼,七里河,附件无学校,100.0万,10204.0,2.0,3,2,1
SH90392,85平米,西北,高层,中装修,有 ,平层,板楼,城关,附件有学校,101.0万,11882.0,12.0,2,2,1
SH90400,70平米,东西,中层,中装修,无 ,错层,钢混,城关,附件有学校,72.0万,10286.0,12.0,2,2,1
SH90404,108平米,南,中层,中装修,无 ,平层,板楼,安宁,附件无学校,151.0万,13981.0,12.0,2,2,1
SH90406,65平米,南北,中层,中装修,无 ,平层,板楼,城关,附件无学校,89.0万,13692.0,27.0,2,1,1
SH90408,110平米,东南,低层,精装修,有 ,平层,板楼,城关,附件有学校,116.0万,10545.0,14.0,2,2,1
